city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0.0,7.0
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0.0,3.0
Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Chennai Super Kings,0.0,4.0
Kolkata,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0.0,7.0
Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0.0,4.0
Chandigarh,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,8.0
Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,39.0,0.0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Chandigarh,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,12.0,0.0
Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,6.0
Delhi,Mumbai Indians,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,40.0,0.0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,10.0,0.0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0.0,5.0
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0.0,5.0
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,9.0
Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,1.0,0.0
Jaipur,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Bengaluru,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,17.0,0.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,46.0,0.0
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Delhi,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,16.0,0.0
Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,34.0,0.0
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,45.0,0.0
Chennai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,80.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,0.0
Chandigarh,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Delhi,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,0.0,5.0
Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,4.0
Chandigarh,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0.0,6.0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0.0,9.0
Chennai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,0.0,6.0
Visakhapatnam,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,0.0,2.0
Visakhapatnam,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Hyderabad,Mumbai Indians,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,1.0,0.0
Abu Dhabi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Unknown,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0.0,0.0
Abu Dhabi,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,8.0
Unknown,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,10.0
Unknown,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,16.0,0.0
Abu Dhabi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,59.0,0.0
Unknown,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,12.0,0.0
Abu Dhabi,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Unknown,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Delhi Capitals,46.0,0.0
Abu Dhabi,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,10.0,0.0
Unknown,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,5.0
Abu Dhabi,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,48.0,0.0
Unknown,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,37.0,0.0
Abu Dhabi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Abu Dhabi,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,0.0,9.0
